query_id,source_row,query,platform,search_url,screenshot_path,status,page_status,result_count_observed,attempt_count,started_at,completed_at,duration_ms,error_type,error_message,collector_version,input_sha256,requested_search_url,final_url,page_type,redirect_detected,redirect_target,capture_method,capture_status,exception_type
V001,1,玩具,curify,https://www.curify-ai.com/search?q=%E7%8E%A9%E5%85%B7,screenshots/V001__query.jpg,success,200,9,1,2026-08-02T16:02:54.859Z,2026-08-02T16:03:12.795Z,17936,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=%E7%8E%A9%E5%85%B7,https://www.curify-ai.com/search?q=%E7%8E%A9%E5%85%B7,search_results,false,,automated,valid_product_response,
V002,2,toy,curify,https://www.curify-ai.com/search?q=toy,screenshots/V002__toy.jpg,success,200,6,1,2026-08-02T16:05:00.972Z,2026-08-02T16:05:18.634Z,17662,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=toy,https://www.curify-ai.com/search?q=toy,search_results,false,,automated,valid_product_response,
V003,3,手办,curify,https://www.curify-ai.com/search?q=%E6%89%8B%E5%8A%9E,screenshots/V003__query.jpg,success,200,11,1,2026-08-02T16:05:21.849Z,2026-08-02T16:05:39.880Z,18031,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=%E6%89%8B%E5%8A%9E,https://www.curify-ai.com/search?q=%E6%89%8B%E5%8A%9E,search_results,false,,automated,valid_product_response,
V004,4,figure,curify,https://www.curify-ai.com/search?q=figure,screenshots/V004__figure.jpg,success,200,36,1,2026-08-02T16:05:43.910Z,2026-08-02T16:06:02.435Z,18525,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=figure,https://www.curify-ai.com/search?q=figure,search_results,false,,automated,valid_product_response,
V005,5,毛绒玩具,curify,https://www.curify-ai.com/search?q=%E6%AF%9B%E7%BB%92%E7%8E%A9%E5%85%B7,screenshots/V005__query.jpg,success,200,7,1,2026-08-02T16:06:06.646Z,2026-08-02T16:06:26.401Z,19755,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=%E6%AF%9B%E7%BB%92%E7%8E%A9%E5%85%B7,https://www.curify-ai.com/search?q=%E6%AF%9B%E7%BB%92%E7%8E%A9%E5%85%B7,search_results,false,,automated,valid_product_response,
V006,6,plush,curify,https://www.curify-ai.com/search?q=plush,screenshots/V006__plush.jpg,success,200,6,1,2026-08-02T16:06:31.169Z,2026-08-02T16:06:47.098Z,15929,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=plush,https://www.curify-ai.com/search?q=plush,search_results,false,,automated,valid_product_response,
V007,7,娃娃,curify,https://www.curify-ai.com/search?q=%E5%A8%83%E5%A8%83,screenshots/V007__query.jpg,success,200,10,1,2026-08-02T16:06:53.639Z,2026-08-02T16:07:27.567Z,33928,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=%E5%A8%83%E5%A8%83,https://www.curify-ai.com/search?q=%E5%A8%83%E5%A8%83,search_results,false,,automated,valid_product_response,
V008,8,doll,curify,https://www.curify-ai.com/search?q=doll,screenshots/V008__doll.jpg,success,200,6,1,2026-08-02T16:07:31.534Z,2026-08-02T16:07:44.648Z,13114,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=doll,https://www.curify-ai.com/search?q=doll,search_results,false,,automated,valid_product_response,
V009,9,吉祥物,curify,https://www.curify-ai.com/search?q=%E5%90%89%E7%A5%A5%E7%89%A9,screenshots/V009__query.jpg,success,200,27,1,2026-08-02T16:07:48.366Z,2026-08-02T16:08:05.952Z,17586,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=%E5%90%89%E7%A5%A5%E7%89%A9,https://www.curify-ai.com/search?q=%E5%90%89%E7%A5%A5%E7%89%A9,search_results,false,,automated,valid_product_response,
V010,10,mascot,curify,https://www.curify-ai.com/search?q=mascot,screenshots/V010__mascot.jpg,success,200,30,1,2026-08-02T16:08:09.520Z,2026-08-02T16:08:32.055Z,22535,,,curify-326-local-v1.0.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e,https://www.curify-ai.com/search?q=mascot,https://www.curify-ai.com/search?q=mascot,search_results,false,,automated,valid_product_response,
