query_id,source_row,query,platform,search_url,screenshot_path,status,page_status,consent_detected,captcha_detected,attempt_count,started_at,completed_at,duration_ms,error_type,error_message,collector_version,input_sha256
V001,1,玩具,google_images,https://www.google.com/search?tbm=isch&q=%E7%8E%A9%E5%85%B7&hl=en,screenshots/V001__query.jpg,success,200,false,false,1,2026-08-01T14:58:42.010Z,2026-08-01T14:58:51.116Z,9106,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V002,2,toy,google_images,https://www.google.com/search?tbm=isch&q=toy&hl=en,screenshots/V002__toy.jpg,success,200,false,false,1,2026-08-01T15:13:13.835Z,2026-08-01T15:13:23.255Z,9420,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V003,3,手办,google_images,https://www.google.com/search?tbm=isch&q=%E6%89%8B%E5%8A%9E&hl=en,screenshots/V003__query.jpg,success,200,false,false,1,2026-08-01T15:13:33.790Z,2026-08-01T15:13:42.301Z,8511,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V004,4,figure,google_images,https://www.google.com/search?tbm=isch&q=figure&hl=en,screenshots/V004__figure.jpg,success,200,false,false,1,2026-08-01T15:13:53.285Z,2026-08-01T15:14:02.006Z,8721,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V005,5,毛绒玩具,google_images,https://www.google.com/search?tbm=isch&q=%E6%AF%9B%E7%BB%92%E7%8E%A9%E5%85%B7&hl=en,screenshots/V005__query.jpg,success,200,false,false,1,2026-08-01T15:14:13.251Z,2026-08-01T15:14:21.079Z,7828,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V006,6,plush,google_images,https://www.google.com/search?tbm=isch&q=plush&hl=en,screenshots/V006__plush.jpg,success,200,false,false,1,2026-08-01T15:14:33.017Z,2026-08-01T15:14:40.909Z,7892,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V007,7,娃娃,google_images,https://www.google.com/search?tbm=isch&q=%E5%A8%83%E5%A8%83&hl=en,screenshots/V007__query.jpg,success,200,false,false,1,2026-08-01T15:14:50.890Z,2026-08-01T15:14:57.773Z,6883,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V008,8,doll,google_images,https://www.google.com/search?tbm=isch&q=doll&hl=en,screenshots/V008__doll.jpg,success,200,false,false,1,2026-08-01T15:15:10.072Z,2026-08-01T15:15:17.113Z,7041,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V009,9,吉祥物,google_images,https://www.google.com/search?tbm=isch&q=%E5%90%89%E7%A5%A5%E7%89%A9&hl=en,screenshots/V009__query.jpg,success,200,false,false,1,2026-08-01T15:15:24.720Z,2026-08-01T15:15:32.136Z,7416,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V010,10,mascot,google_images,https://www.google.com/search?tbm=isch&q=mascot&hl=en,screenshots/V010__mascot.jpg,success,200,false,false,1,2026-08-01T15:15:39.654Z,2026-08-01T15:15:47.473Z,7819,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V011,11,卡通形象,google_images,https://www.google.com/search?tbm=isch&q=%E5%8D%A1%E9%80%9A%E5%BD%A2%E8%B1%A1&hl=en,screenshots/V011__query.jpg,success,200,false,false,1,2026-08-01T17:57:58.875Z,2026-08-01T17:58:18.003Z,19128,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V012,12,character,google_images,https://www.google.com/search?tbm=isch&q=character&hl=en,screenshots/V012__character.jpg,success,200,false,false,1,2026-08-01T17:58:29.913Z,2026-08-01T17:59:20.307Z,50394,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V013,13,贴纸,google_images,https://www.google.com/search?tbm=isch&q=%E8%B4%B4%E7%BA%B8&hl=en,screenshots/V013__query.jpg,success,200,false,false,1,2026-08-01T17:59:30.135Z,2026-08-01T17:59:40.900Z,10765,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V014,14,sticker,google_images,https://www.google.com/search?tbm=isch&q=sticker&hl=en,screenshots/V014__sticker.jpg,success,200,false,false,1,2026-08-01T17:59:50.348Z,2026-08-01T18:00:02.176Z,11828,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V015,15,钥匙扣,google_images,https://www.google.com/search?tbm=isch&q=%E9%92%A5%E5%8C%99%E6%89%A3&hl=en,screenshots/V015__query.jpg,success,200,false,false,1,2026-08-01T18:00:12.520Z,2026-08-01T18:00:19.461Z,6941,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V016,16,keychain,google_images,https://www.google.com/search?tbm=isch&q=keychain&hl=en,screenshots/V016__keychain.jpg,success,200,false,false,1,2026-08-01T18:00:26.824Z,2026-08-01T18:00:31.732Z,4908,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V017,17,收藏品,google_images,https://www.google.com/search?tbm=isch&q=%E6%94%B6%E8%97%8F%E5%93%81&hl=en,screenshots/V017__query.jpg,success,200,false,false,1,2026-08-01T18:00:43.642Z,2026-08-01T18:00:49.387Z,5745,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V018,18,collectible,google_images,https://www.google.com/search?tbm=isch&q=collectible&hl=en,screenshots/V018__collectible.jpg,success,200,false,false,1,2026-08-01T18:00:57.219Z,2026-08-01T18:01:04.353Z,7134,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
V019,19,盲盒,google_images,https://www.google.com/search?tbm=isch&q=%E7%9B%B2%E7%9B%92&hl=en,screenshots/V019__query.jpg,success,200,false,false,1,2026-08-01T18:01:16.885Z,2026-08-01T18:01:27.848Z,10963,,,google-images-326-local-v1.1.0,d8ae0f4ef77567b4dcf8f15635b11c140810c3b991a8134a99997e11ad6a1d9e
